stimulus,condition,syllable_length,frequency_group,presentations,accuracy,median_rt,mean_rt,incorrect_count,missing_rt_count,flags
sức hấp dẫn,word,3,mid,11,1,0.568944,0.746872,0,0,
th? công m? ngh?,word,4,mid,20,0.95,0.765842,0.768248,1,0,
th? tru?c n?i d?a,pseudoword,4,control,20,0.85,1.06376,1.07038,3,1,
th? tru?ng,word,2,high,20,0.95,0.377783,0.432281,1,0,
th? tru?ng n?i d?a,word,4,mid,20,0.95,0.804536,0.784063,1,0,
th?c ph?m ch? bi?n,word,4,high,20,1,0.609997,0.615097,0,0,
thị trườc nội địa,pseudoword,4,control,11,0.818182,1.098148,1.070487,2,0,
thị trường,word,2,high,11,1,0.446725,0.460748,0,0,
thị trường nội địa,word,4,mid,11,1,0.703711,0.698818,0,0,
thủ công mỹ nghệ,word,4,mid,11,1,0.821426,0.872815,0,0,
thực phẩm chế biến,word,4,high,11,0.909091,0.663816,0.676654,1,1,
ti?n,word,1,high,20,0.95,0.294364,0.340478,1,0,
tin,word,1,high,31,1,0.386976,0.427411,0,0,
tiền,word,1,high,11,1,0.412818,0.429801,0,0,
tr?,word,1,low,20,1,0.427922,0.446887,0,0,
trính d? h?c v?n,pseudoword,4,control,20,0.85,1.182416,1.20446,3,0,
trính độ học vấn,pseudoword,4,control,11,0.272727,0.829266,0.865478,8,0,accuracy_below_60;many_participants_confuse_item
trý,pseudoword,1,control,11,0.454545,0.480804,0.532314,6,0,accuracy_below_60;many_participants_confuse_item
trư,pseudoword,1,control,20,0.75,0.678161,0.681526,5,0,
trị,word,1,low,11,0.909091,0.385543,0.403033,1,0,
tâm l? h?c,pseudoword,3,control,20,0.75,0.949321,0.982491,5,0,
tâm lỵ học,pseudoword,3,control,11,0.818182,1.004497,1.050205,2,0,
tình yêu đích thực,word,4,high,11,1,0.613429,0.590525,0,0,
t́nh yêu dích th?c,word,4,high,20,1,0.607561,0.615857,0,0,
v?n hóa,pseudoword,2,control,20,0.7,0.867073,0.867771,6,0,
v?t,word,1,mid,20,0.9,0.420189,0.440897,2,0,
van hóa,word,2,high,20,0.9,0.433161,0.453071,2,0,
van hóa ?m th?c,word,4,low,40,0.925,0.938343,0.936448,3,0,
văn hóa,word,2,high,11,1,0.445296,0.463644,0,0,
văn hóa ẩm thủc,pseudoword,4,control,11,0.727273,1.193179,1.128993,3,0,
văn hóa ẩm thực,word,4,low,11,0.909091,0.625866,0.670251,1,0,
vản hóa,pseudoword,2,control,11,0.909091,0.697703,0.690457,1,0,
vật,word,1,mid,11,1,0.457506,0.423981,0,0,
xe d?y,word,2,mid,20,0.95,0.510387,0.544778,1,0,
xe đẩy,word,2,mid,11,1,0.495634,0.499551,0,0,
điện thoại di động,word,4,high,11,1,0.54965,0.577328,0,0,
đâ,pseudoword,1,control,11,1,0.588167,0.583786,0,0,
đèn,word,1,high,11,1,0.404101,0.454,0,0,
đất,word,1,mid,11,1,0.469892,0.523494,0,0,
địm kiến xã hội,pseudoword,4,control,11,0.363636,0.683573,0.74131,7,0,accuracy_below_60;many_participants_confuse_item
định kiến xã hội,word,4,low,11,1,0.641923,0.666814,0,0,
đồ nội thất,word,3,mid,11,1,0.545661,0.596512,0,0,
đồng nghiệp,word,2,high,11,1,0.441813,0.457808,0,0,
