trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,presentations,accuracy,valid_rt_n,correct_valid_rt_n,mean_rt_correct,median_rt_correct,missing_rt_count,flag
LDT3X4_049,văn hóa ẩm thủc,pseudoword,0,4,control,NA,NA,48,0.8333333333333334,48,40,1.136990525,1.181427,0,
LDT3X4_050,chợ,word,1,1,low,108,4.682131227,48,1.0,48,48,0.4293114375,0.4242595,0,
LDT3X4_051,hó,pseudoword,0,1,control,NA,NA,48,0.8333333333333334,48,40,0.690971725,0.6906479999999999,0,
LDT3X4_052,nướp,pseudoword,0,1,control,NA,NA,48,0.7291666666666666,48,35,0.7073822571428572,0.700158,0,
LDT3X4_053,loại sản phám,pseudoword,0,3,control,NA,NA,48,0.8541666666666666,48,41,1.0440815609756098,1.037666,0,
LDT3X4_054,rúng,pseudoword,0,1,control,NA,NA,48,0.8333333333333334,48,40,0.7030448499999999,0.701749,0,
LDT3X4_055,máy điều hòa,word,1,3,low,10,2.302585093,48,0.9791666666666666,47,47,0.703704914893617,0.678537,1,
LDT3X4_056,nước mắm nguyên chất,word,1,4,mid,6,1.791759469,48,0.9791666666666666,48,47,0.7646469361702127,0.780529,0,
LDT3X4_057,tình yêu đích thực,word,1,4,high,23,3.1354942159291497,48,0.9375,47,45,0.6210882,0.614001,1,
LDT3X4_058,cây xanh,word,1,2,low,12,2.48490665,48,0.9583333333333334,48,46,0.6017288260869565,0.613758,0,
LDT3X4_059,dân,word,1,1,mid,155,5.043425117,48,1.0,48,48,0.4540806875,0.45103499999999996,0,
LDT3X4_060,quan hệ vợ chọng,pseudoword,0,4,control,NA,NA,48,0.7708333333333334,48,37,1.0247806216216215,1.000723,0,
LDT3X4_061,thủ công mỹ nghệ,word,1,4,mid,4,1.386294361,48,0.9375,48,45,0.8228483555555556,0.794583,0,
LDT3X4_062,nướm đường,pseudoword,0,2,control,NA,NA,48,0.8125,47,39,0.8109635897435897,0.804959,1,
LDT3X4_063,bệnh viện,word,1,2,low,13,2.564949357,48,0.9791666666666666,48,47,0.5854932127659574,0.601718,0,
LDT3X4_064,nước xốt,word,1,2,low,12,2.48490665,48,0.9791666666666666,48,47,0.6178952765957447,0.631427,0,
LDT3X4_065,bửa,pseudoword,0,1,control,NA,NA,48,0.75,45,36,0.6698470833333333,0.6744395000000001,3,
LDT3X4_066,lá đic lăng,pseudoword,0,3,control,NA,NA,48,0.8333333333333334,47,40,1.0021039,0.9666245,1,
LDT3X4_067,vật,word,1,1,mid,252,5.529429088,48,0.9583333333333334,48,46,0.4434070652173913,0.4360585,0,
LDT3X4_068,thực phẩm chế biến,word,1,4,high,7,1.9459101490553128,48,0.9583333333333334,47,46,0.6592701739130434,0.6561699999999999,1,
LDT3X4_069,nước vo gạo,word,1,3,high,28,3.33220451,48,0.9166666666666666,48,44,0.5979660454545455,0.5744225000000001,0,
LDT3X4_070,chuyện tình cảm,word,1,3,high,48,3.87120101090789,48,0.8541666666666666,47,41,0.5739337073170732,0.57887,1,
LDT3X4_071,đồ nội thất,word,1,3,mid,18,2.89037175789616,48,0.9375,46,45,0.6954382444444445,0.668801,2,
LDT3X4_072,côc,pseudoword,0,1,control,NA,NA,48,0.8541666666666666,47,41,0.6916851951219513,0.668791,1,
LDT3X4_073,nước hoa hồng,word,1,3,low,8,2.079441542,48,0.9375,47,45,0.7850243333333333,0.746524,1,
LDT3X4_074,thị trường,word,1,2,high,128,4.852030264,48,0.9791666666666666,48,47,0.43061963829787236,0.384649,0,
LDT3X4_075,hơi nước,word,1,2,low,11,2.397895273,48,0.9583333333333334,48,46,0.632661152173913,0.6269945,0,
LDT3X4_076,thị trườc nội địa,pseudoword,0,4,control,NA,NA,48,0.8333333333333334,47,40,1.130830575,1.1237225,1,
LDT3X4_077,cửa hàc,pseudoword,0,2,control,NA,NA,48,0.8958333333333334,48,43,0.8314483953488372,0.807702,0,
LDT3X4_078,cá thác lác,word,1,3,mid,14,2.63905732961526,48,0.8541666666666666,48,41,0.6880969268292683,0.690892,0,
LDT3X4_079,định kiến xã hội,word,1,4,low,3,1.098612289,48,0.9166666666666666,48,44,0.8061356590909091,0.82744,0,
