participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt,source_file,source_encoding,row_in_file,item_id,rt_numeric,log_rt,is_timeout,is_main_trial,is_practice_trial,is_real_word,is_pseudoword,is_correct,accuracy_numeric,syllable_length_numeric,frequency_numeric,log_frequency_numeric
10,main,LDT3X4_097,côm ty,pseudoword,0,2,control,NA,NA,công ty,nonword,j,nonword,1,0.858896,10_session-001_ldt_20260522_231506.csv,utf-8-sig,27,LDT3X4_097,0.858896,-0.15210743534037396,False,True,False,False,True,True,1,2,,
10,main,LDT3X4_024,nước xọt,pseudoword,0,2,control,NA,NA,nước xốt,nonword,f,word,0,0.642139,10_session-001_ldt_20260522_231506.csv,utf-8-sig,28,LDT3X4_024,0.642139,-0.44295048782385216,False,True,False,False,True,False,0,2,,
10,main,LDT3X4_120,xe đẩy,word,1,2,mid,14,2.63905733,xe đẩy,word,f,word,1,0.475629,10_session-001_ldt_20260522_231506.csv,utf-8-sig,29,LDT3X4_120,0.475629,-0.743117140414691,False,True,False,True,False,True,1,2,14.0,2.63905733
10,main,LDT3X4_002,núi,word,1,1,low,31,3.433987204,núi,word,j,nonword,0,0.407674,10_session-001_ldt_20260522_231506.csv,utf-8-sig,30,LDT3X4_002,0.407674,-0.8972874435721273,False,True,False,True,False,False,0,1,31.0,3.433987204
10,main,LDT3X4_103,tiền,word,1,1,high,317,5.758901774,tiền,word,f,word,1,0.62099,10_session-001_ldt_20260522_231506.csv,utf-8-sig,31,LDT3X4_103,0.62099,-0.4764403002378952,False,True,False,True,False,True,1,1,317.0,5.758901774
10,main,LDT3X4_092,gió,word,1,1,mid,118,4.770684624,gió,word,f,word,1,0.623571,10_session-001_ldt_20260522_231506.csv,utf-8-sig,32,LDT3X4_092,0.623571,-0.47229264704920737,False,True,False,True,False,True,1,1,118.0,4.770684624
10,main,LDT3X4_039,hàc,pseudoword,0,1,control,NA,NA,hàng,nonword,j,nonword,1,0.577072,10_session-001_ldt_20260522_231506.csv,utf-8-sig,33,LDT3X4_039,0.577072,-0.5497882368966152,False,True,False,False,True,True,1,1,,
10,main,LDT3X4_009,tâm lỵ học,pseudoword,0,3,control,NA,NA,tâm lý học,nonword,j,nonword,1,1.429001,10_session-001_ldt_20260522_231506.csv,utf-8-sig,34,LDT3X4_009,1.429001,0.35697559873754847,False,True,False,False,True,True,1,3,,
10,main,LDT3X4_080,loại thực phẩm,word,1,3,mid,13,2.564949357,loại thực phẩm,word,f,word,1,0.604845,10_session-001_ldt_20260522_231506.csv,utf-8-sig,35,LDT3X4_080,0.604845,-0.502783052122806,False,True,False,True,False,True,1,3,13.0,2.564949357
10,main,LDT3X4_071,đồ nội thất,word,1,3,mid,18,2.89037175789616,đồ nội thất,word,f,word,1,0.582991,10_session-001_ldt_20260522_231506.csv,utf-8-sig,36,LDT3X4_071,0.582991,-0.5395835301435983,False,True,False,True,False,True,1,3,18.0,2.89037175789616
10,main,LDT3X4_078,cá thác lác,word,1,3,mid,14,2.63905732961526,cá thác lác,word,f,word,1,0.626407,10_session-001_ldt_20260522_231506.csv,utf-8-sig,37,LDT3X4_078,0.626407,-0.46775495939991163,False,True,False,True,False,True,1,3,14.0,2.63905732961526
10,main,LDT3X4_074,thị trường,word,1,2,high,128,4.852030264,thị trường,word,f,word,1,0.743692,10_session-001_ldt_20260522_231506.csv,utf-8-sig,38,LDT3X4_074,0.743692,-0.2961283083564221,False,True,False,True,False,True,1,2,128.0,4.852030264
10,main,LDT3X4_079,định kiến xã hội,word,1,4,low,3,1.098612289,định kiến xã hội,word,f,word,1,0.464537,10_session-001_ldt_20260522_231506.csv,utf-8-sig,39,LDT3X4_079,0.464537,-0.766714068356983,False,True,False,True,False,True,1,4,3.0,1.098612289
10,main,LDT3X4_035,nước uống thể thao,word,1,4,mid,4,1.386294361,nước uống thể thao,word,f,word,1,0.576466,10_session-001_ldt_20260522_231506.csv,utf-8-sig,40,LDT3X4_035,0.576466,-0.5508389175950378,False,True,False,True,False,True,1,4,4.0,1.386294361
10,main,LDT3X4_018,giáo dục,word,1,2,mid,23,3.135494216,giáo dục,word,f,word,1,0.565776,10_session-001_ldt_20260522_231506.csv,utf-8-sig,41,LDT3X4_018,0.565776,-0.5695570388298138,False,True,False,True,False,True,1,2,23.0,3.135494216
10,main,LDT3X4_059,dân,word,1,1,mid,155,5.043425117,dân,word,f,word,1,0.468304,10_session-001_ldt_20260522_231506.csv,utf-8-sig,42,LDT3X4_059,0.468304,-0.7586376212959145,False,True,False,True,False,True,1,1,155.0,5.043425117
10,main,LDT3X4_113,máy pha cà phé,pseudoword,0,4,control,NA,NA,máy pha cà phê,nonword,j,nonword,1,1.737907,10_session-001_ldt_20260522_231506.csv,utf-8-sig,43,LDT3X4_113,1.737907,0.552681515630143,False,True,False,False,True,True,1,4,,
10,main,LDT3X4_023,địm kiến xã hội,pseudoword,0,4,control,NA,NA,định kiến xã hội,nonword,f,word,0,0.480337,10_session-001_ldt_20260522_231506.csv,utf-8-sig,44,LDT3X4_023,0.480337,-0.733267338092074,False,True,False,False,True,False,0,4,,
10,main,LDT3X4_089,lâ,pseudoword,0,1,control,NA,NA,lá,nonword,j,nonword,1,0.660081,10_session-001_ldt_20260522_231506.csv,utf-8-sig,45,LDT3X4_089,0.660081,-0.4153927242193141,False,True,False,False,True,True,1,1,,
10,main,LDT3X4_003,cơ só sản xuất,pseudoword,0,4,control,NA,NA,cơ sở sản xuất,nonword,j,nonword,1,1.254598,10_session-001_ldt_20260522_231506.csv,utf-8-sig,46,LDT3X4_003,1.254598,0.22681520254564688,False,True,False,False,True,True,1,4,,
10,main,LDT3X4_048,diễn đàn quốc tế,word,1,4,low,4,1.386294361,diễn đàn quốc tế,word,f,word,1,0.72679,10_session-001_ldt_20260522_231506.csv,utf-8-sig,47,LDT3X4_048,0.72679,-0.31911770149808916,False,True,False,True,False,True,1,4,4.0,1.386294361
10,main,LDT3X4_096,nồi ạp suất,pseudoword,0,3,control,NA,NA,nồi áp suất,nonword,j,nonword,1,0.654857,10_session-001_ldt_20260522_231506.csv,utf-8-sig,48,LDT3X4_096,0.654857,-0.4233383877929859,False,True,False,False,True,True,1,3,,
10,main,LDT3X4_111,chủ cửa hàc,pseudoword,0,3,control,NA,NA,chủ cửa hàng,nonword,f,word,0,0.59318,10_session-001_ldt_20260522_231506.csv,utf-8-sig,49,LDT3X4_111,0.59318,-0.5222573847284105,False,True,False,False,True,False,0,3,,
10,main,LDT3X4_020,lực,word,1,1,mid,199,5.293304825,lực,word,f,word,1,0.61819,10_session-001_ldt_20260522_231506.csv,utf-8-sig,50,LDT3X4_020,0.61819,-0.4809594254097776,False,True,False,True,False,True,1,1,199.0,5.293304825
10,main,LDT3X4_085,nước cốt dừa,word,1,3,mid,18,2.890371758,nước cốt dừa,word,f,word,1,0.599544,10_session-001_ldt_20260522_231506.csv,utf-8-sig,51,LDT3X4_085,0.599544,-0.5115859127123995,False,True,False,True,False,True,1,3,18.0,2.890371758
10,main,LDT3X4_030,lủc,pseudoword,0,1,control,NA,NA,lực,nonword,j,nonword,1,0.732904,10_session-001_ldt_20260522_231506.csv,utf-8-sig,52,LDT3X4_030,0.732904,-0.3107405542947254,False,True,False,False,True,True,1,1,,
10,main,LDT3X4_037,đâ,pseudoword,0,1,control,NA,NA,đá,nonword,j,nonword,1,0.54747,10_session-001_ldt_20260522_231506.csv,utf-8-sig,53,LDT3X4_037,0.54747,-0.6024476133133037,False,True,False,False,True,True,1,1,,
10,main,LDT3X4_077,cửa hàc,pseudoword,0,2,control,NA,NA,cửa hàng,nonword,j,nonword,1,0.67913,10_session-001_ldt_20260522_231506.csv,utf-8-sig,54,LDT3X4_077,0.67913,-0.38694271172268024,False,True,False,False,True,True,1,2,,
10,main,LDT3X4_107,kiến trúc sủ,pseudoword,0,3,control,NA,NA,kiến trúc sư,nonword,j,nonword,1,0.878672,10_session-001_ldt_20260522_231506.csv,utf-8-sig,55,LDT3X4_107,0.878672,-0.12934360224353866,False,True,False,False,True,True,1,3,,
10,main,LDT3X4_017,nước vọ gạo,pseudoword,0,3,control,NA,NA,nước vo gạo,nonword,j,nonword,1,0.653272,10_session-001_ldt_20260522_231506.csv,utf-8-sig,56,LDT3X4_017,0.653272,-0.4257616973834774,False,True,False,False,True,True,1,3,,
10,main,LDT3X4_095,cây,word,1,1,mid,281,5.638354669,cây,word,f,word,1,0.542451,10_session-001_ldt_20260522_231506.csv,utf-8-sig,57,LDT3X4_095,0.542451,-0.6116575202274975,False,True,False,True,False,True,1,1,281.0,5.638354669
10,main,LDT3X4_042,mức giá,word,1,2,mid,16,2.772588722,mức giá,word,f,word,1,0.576226,10_session-001_ldt_20260522_231506.csv,utf-8-sig,58,LDT3X4_042,0.576226,-0.551255334128627,False,True,False,True,False,True,1,2,16.0,2.772588722
10,main,LDT3X4_117,cơ sở sản xuất,word,1,4,low,3,1.098612289,cơ sở sản xuất,word,f,word,1,0.618957,10_session-001_ldt_20260522_231506.csv,utf-8-sig,59,LDT3X4_117,0.618957,-0.4797194755925444,False,True,False,True,False,True,1,4,3.0,1.098612289
10,main,LDT3X4_033,đồng nghiệp,word,1,2,high,45,3.80666249,đồng nghiệp,word,f,word,1,0.478191,10_session-001_ldt_20260522_231506.csv,utf-8-sig,60,LDT3X4_033,0.478191,-0.7377450447121864,False,True,False,True,False,True,1,2,45.0,3.80666249
10,main,LDT3X4_006,đèn,word,1,1,high,306,5.723585102,đèn,word,f,word,1,0.480395,10_session-001_ldt_20260522_231506.csv,utf-8-sig,61,LDT3X4_006,0.480395,-0.733146596823811,False,True,False,True,False,True,1,1,306.0,5.723585102
10,main,LDT3X4_094,mái ấm gia đình,word,1,4,high,16,2.772588722239781,mái ấm gia đình,word,f,word,1,0.554165,10_session-001_ldt_20260522_231506.csv,utf-8-sig,62,LDT3X4_094,0.554165,-0.5902928026435571,False,True,False,True,False,True,1,4,16.0,2.772588722239781
10,main,LDT3X4_022,trý,pseudoword,0,1,control,NA,NA,trị,nonword,j,nonword,1,0.592152,10_session-001_ldt_20260522_231506.csv,utf-8-sig,63,LDT3X4_022,0.592152,-0.5239919202977497,False,True,False,False,True,True,1,1,,
10,main,LDT3X4_049,văn hóa ẩm thủc,pseudoword,0,4,control,NA,NA,văn hóa ẩm thực,nonword,j,nonword,1,1.147467,10_session-001_ldt_20260522_231506.csv,utf-8-sig,64,LDT3X4_049,1.147467,0.13755690436910445,False,True,False,False,True,True,1,4,,
