lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag
phim,58,4.060443010546419,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
giang,57,4.04305126783455,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chat,50,3.912023005428146,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
long,47,3.8501476017100575,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chay,46,3.828641396489095,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thao,46,3.828641396489095,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
loan,42,3.737669618283368,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
value,42,3.737669618283368,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
hoang,42,3.737669618283368,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
sung,40,3.688879454113936,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
lang,38,3.6375861597263857,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nguy,37,3.610917912644224,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
tung,36,3.58351893845611,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
tivi,36,3.58351893845611,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
giai,36,3.58351893845611,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chai,36,3.58351893845611,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
ninh,34,3.5263605246161616,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thai,32,3.4657359027997265,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khay,32,3.4657359027997265,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
internet,32,3.4657359027997265,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nhung,31,3.4339872044851463,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
quang,31,3.4339872044851463,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khoa,31,3.4339872044851463,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
