model,npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
model0,4,-286.2781001844131,-261.86412307088926,147.13905009220656,-294.2781001844131,NA,NA,NA
model1,6,-299.23278130946755,-262.6118156391817,155.61639065473378,-311.23278130946755,16.954681125054435,2,2.081314800108023e-4
model2,9,-511.037296169877,-456.1058476644483,264.5186480849385,-529.037296169877,217.80451486040943,3,5.988312314611894e-47
model3,15,-511.9227903962046,-420.3703762204901,270.9613951981023,-541.9227903962046,12.885494226327637,6,0.044890776389959655
