lexical_item,frequency,syllable_length,log_frequency
tâm trạng,96,2,4.564348191467836
mẹ chồng,96,2,4.564348191467836
ánh sáng,93,2,4.532599493153256
điều kiện,92,2,4.5217885770490405
tự nhiên,92,2,4.5217885770490405
người mình,92,2,4.5217885770490405
xã hội,92,2,4.5217885770490405
nội thất,92,2,4.5217885770490405
kỷ niệm,92,2,4.5217885770490405
mọi chuyện,92,2,4.5217885770490405
tâm lý,91,2,4.51085950651685
người thân,90,2,4.499809670330265
dễ dàng,89,2,4.48863636973214
về nhà,89,2,4.48863636973214
kiểu dáng,89,2,4.48863636973214
thẳng thắn,88,2,4.477336814478207
chất liệu,88,2,4.477336814478207
triệu đồng,88,2,4.477336814478207
trải qua,87,2,4.465908118654584
đi chơi,87,2,4.465908118654584
hy sinh,86,2,4.454347296253507
ba mẹ,86,2,4.454347296253507
trở lại,86,2,4.454347296253507
chị hân,86,2,4.454347296253507
cảm nhận,86,2,4.454347296253507
nguyên liệu,86,2,4.454347296253507
thoải mái,85,2,4.442651256490317
căn phòng,85,2,4.442651256490317
liên lạc,85,2,4.442651256490317
chị em,84,2,4.430816798843313
chân thành,84,2,4.430816798843313
thưởng thức,84,2,4.430816798843313
mình yêu,84,2,4.430816798843313
xứng đáng,84,2,4.430816798843313
thứ hai,84,2,4.430816798843313
nhẹ nhàng,83,2,4.418840607796598
vị trí,83,2,4.418840607796598
may mắn,83,2,4.418840607796598
đại học,83,2,4.418840607796598
trung quốc,82,2,4.406719247264253
so sánh,82,2,4.406719247264253
rất yêu,82,2,4.406719247264253
chị hồng,82,2,4.406719247264253
còn lại,81,2,4.394449154672439
quần áo,81,2,4.394449154672439
chứng tỏ,81,2,4.394449154672439
níu kéo,81,2,4.394449154672439
khéo léo,80,2,4.382026634673881
nhu cầu,80,2,4.382026634673881
tinh thần,80,2,4.382026634673881
hình ảnh,79,2,4.3694478524670215
chuyện tình,79,2,4.3694478524670215
bình tĩnh,79,2,4.3694478524670215
đồ chơi,79,2,4.3694478524670215
mong muốn,79,2,4.3694478524670215
trên thị,79,2,4.3694478524670215
nghi ngờ,78,2,4.356708826689592
chức năng,78,2,4.356708826689592
sự yêu,78,2,4.356708826689592
người mà,78,2,4.356708826689592
thể nói,78,2,4.356708826689592
tự tin,78,2,4.356708826689592
ích kỷ,77,2,4.343805421853684
vô cùng,77,2,4.343805421853684
phải biết,77,2,4.343805421853684
thịt bò,77,2,4.343805421853684
chính mình,77,2,4.343805421853684
quỳnh hãy,76,2,4.330733340286331
niềm tin,76,2,4.330733340286331
loại máy,76,2,4.330733340286331
xin lỗi,76,2,4.330733340286331
nếu chị,76,2,4.330733340286331
bao nhiêu,75,2,4.31748811353631
đàn bà,75,2,4.31748811353631
tốt đẹp,75,2,4.31748811353631
thông thường,75,2,4.31748811353631
trở về,75,2,4.31748811353631
vậy thì,74,2,4.30406509320417
nỗi đau,74,2,4.30406509320417
cái gì,74,2,4.30406509320417
sáng suốt,73,2,4.290459441148391
cảm xúc,73,2,4.290459441148391
thì hãy,73,2,4.290459441148391
bảo vệ,73,2,4.290459441148391
mang lại,72,2,4.276666119016055
cần thiết,72,2,4.276666119016055
hãy cố,72,2,4.276666119016055
document contactus,72,2,4.276666119016055
ngôi nhà,72,2,4.276666119016055
sai lầm,71,2,4.2626798770413155
mình thì,71,2,4.2626798770413155
ngay cả,71,2,4.2626798770413155
năm nay,71,2,4.2626798770413155
nhưng nếu,70,2,4.248495242049359
quá nhiều,70,2,4.248495242049359
bởi vì,70,2,4.248495242049359
yếu đuối,70,2,4.248495242049359
nên nói,70,2,4.248495242049359
trước đây,70,2,4.248495242049359
sự thật,70,2,4.248495242049359
muốn nói,70,2,4.248495242049359
bạn cần,69,2,4.23410650459726
niềm vui,69,2,4.23410650459726
nhiệt độ,69,2,4.23410650459726
khẳng định,69,2,4.23410650459726
cuối tuần,68,2,4.219507705176107
ý nghĩa,68,2,4.219507705176107
phòng khách,68,2,4.219507705176107
lập gia,68,2,4.219507705176107
tìm cách,68,2,4.219507705176107
thế giới,68,2,4.219507705176107
bằng cách,68,2,4.219507705176107
yêu người,67,2,4.204692619390966
quên đi,67,2,4.204692619390966
thấy mình,67,2,4.204692619390966
điều quan,67,2,4.204692619390966
khoảng phút,67,2,4.204692619390966
mỗi người,67,2,4.204692619390966
phong cách,67,2,4.204692619390966
quan điểm,67,2,4.204692619390966
tất nhiên,66,2,4.189654742026425
tổn thương,66,2,4.189654742026425
ông bà,66,2,4.189654742026425
bên ngoài,66,2,4.189654742026425
bạn đang,66,2,4.189654742026425
ly dị,66,2,4.189654742026425
thái độ,66,2,4.189654742026425
giải pháp,66,2,4.189654742026425
dòng tâm,66,2,4.189654742026425
quay lại,66,2,4.189654742026425
người kia,65,2,4.174387269895637
dứt khoát,65,2,4.174387269895637
cầu thang,65,2,4.174387269895637
khu vực,65,2,4.174387269895637
nhiều lần,65,2,4.174387269895637
mình nghĩ,65,2,4.174387269895637
ngược lại,65,2,4.174387269895637
nên chọn,64,2,4.1588830833596715
kết quả,64,2,4.1588830833596715
dằn vặt,64,2,4.1588830833596715
phát triển,64,2,4.1588830833596715
rất khó,64,2,4.1588830833596715
lãng mạn,64,2,4.1588830833596715
lấy chồng,64,2,4.1588830833596715
mùi thơm,63,2,4.143134726391533
yêu cầu,63,2,4.143134726391533
thành công,63,2,4.143134726391533
sẵn sàng,63,2,4.143134726391533
trái cây,63,2,4.143134726391533
đòi hỏi,62,2,4.127134385045092
gái kia,62,2,4.127134385045092
đau đớn,62,2,4.127134385045092
con đường,62,2,4.127134385045092
chị nên,62,2,4.127134385045092
thuyết phục,62,2,4.127134385045092
an ủi,62,2,4.127134385045092
địa chỉ,62,2,4.127134385045092
thể nào,61,2,4.110873864173311
tuyệt vời,61,2,4.110873864173311
giúp đỡ,61,2,4.110873864173311
cửa hàng,61,2,4.110873864173311
người cha,61,2,4.110873864173311
lần nữa,61,2,4.110873864173311
giúp bạn,61,2,4.110873864173311
thủy tinh,60,2,4.0943445622221
thành phố,60,2,4.0943445622221
khó chịu,60,2,4.0943445622221
bà mẹ,60,2,4.0943445622221
cùng nhau,60,2,4.0943445622221
giới thiệu,60,2,4.0943445622221
gì mà,60,2,4.0943445622221
nhìn thấy,60,2,4.0943445622221
đánh giá,60,2,4.0943445622221
hành lá,60,2,4.0943445622221
tổ chức,60,2,4.0943445622221
tâm hồn,60,2,4.0943445622221
thì phải,60,2,4.0943445622221
đa dạng,59,2,4.07753744390572
thật lòng,59,2,4.07753744390572
thương yêu,59,2,4.07753744390572
can đảm,59,2,4.07753744390572
thể dùng,59,2,4.07753744390572
giải thích,59,2,4.07753744390572
thể chọn,59,2,4.07753744390572
cư xử,59,2,4.07753744390572
mà mình,58,2,4.060443010546419
muỗng cà,58,2,4.060443010546419
chẳng hạn,58,2,4.060443010546419
tính cách,58,2,4.060443010546419
mạnh mẽ,58,2,4.060443010546419
đảm bảo,58,2,4.060443010546419
hoạt động,58,2,4.060443010546419
cô bạn,58,2,4.060443010546419
chỉ vì,58,2,4.060443010546419
thỉnh thoảng,57,2,4.04305126783455
vậy mà,57,2,4.04305126783455
vợ con,57,2,4.04305126783455
mỗi lần,57,2,4.04305126783455
phòng ngủ,57,2,4.04305126783455
điều chỉnh,57,2,4.04305126783455
trọng nhất,57,2,4.04305126783455
tập trung,57,2,4.04305126783455
biết mình,56,2,4.02535169073515
mình chị,56,2,4.02535169073515
trân trọng,56,2,4.02535169073515
vệ sinh,56,2,4.02535169073515
con mình,56,2,4.02535169073515
động viên,56,2,4.02535169073515
ổn định,56,2,4.02535169073515
nổi tiếng,56,2,4.02535169073515
tương tự,56,2,4.02535169073515
đừng quá,56,2,4.02535169073515
mà chị,56,2,4.02535169073515
nỗi buồn,56,2,4.02535169073515
thư giãn,56,2,4.02535169073515
vừa ăn,56,2,4.02535169073515
chưa bao,56,2,4.02535169073515
thói quen,56,2,4.02535169073515
an toàn,55,2,4.007333185232471
ấn tượng,55,2,4.007333185232471
