participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
25,practice,PRACTICE_003,gh? dá,word,1,2,practice,NA,NA,gh? dá,word,f,word,1,0.770163
25,practice,PRACTICE_002,m?o,pseudoword,0,1,practice,NA,NA,mèo,nonword,j,nonword,1,0.620529
25,practice,PRACTICE_004,t? l?nh,pseudoword,0,2,practice,NA,NA,t? l?nh,nonword,j,nonword,1,0.775208
25,practice,PRACTICE_001,mèo,word,1,1,practice,NA,NA,mèo,word,f,word,1,0.823886
25,main,LDT3X4_051,hó,pseudoword,0,1,control,NA,NA,gió,nonword,j,nonword,1,0.564877
25,main,LDT3X4_040,mat,pseudoword,0,1,control,NA,NA,m?t,nonword,j,nonword,1,0.706331
25,main,LDT3X4_041,công ngh? thông tin,word,1,4,mid,6,1.791759469,công ngh? thông tin,word,f,word,1,0.889486
25,main,LDT3X4_065,b?a,pseudoword,0,1,control,NA,NA,c?a,nonword,j,nonword,1,0.862171
25,main,LDT3X4_088,máy xay,word,1,2,mid,18,2.890371758,máy xay,word,f,word,1,0.475323
25,main,LDT3X4_017,nu?c v? g?o,pseudoword,0,3,control,NA,NA,nu?c vo g?o,nonword,f,word,0,1.572796
25,main,LDT3X4_113,máy pha cà phé,pseudoword,0,4,control,NA,NA,máy pha cà phê,nonword,j,nonword,1,0.761122
25,main,LDT3X4_007,m?i quan h?,pseudoword,0,3,control,NA,NA,m?i quan h?,nonword,j,nonword,1,1.073121
25,main,LDT3X4_063,b?nh vi?n,word,1,2,low,13,2.564949357,b?nh vi?n,word,f,word,1,0.621339
25,main,LDT3X4_103,ti?n,word,1,1,high,317,5.758901774,ti?n,word,f,word,1,0.414010
25,main,LDT3X4_078,cá thác lác,word,1,3,mid,14,2.63905732961526,cá thác lác,word,f,word,1,0.687241
25,main,LDT3X4_050,ch?,word,1,1,low,108,4.682131227,ch?,word,f,word,1,0.378454
25,main,LDT3X4_074,th? tru?ng,word,1,2,high,128,4.852030264,th? tru?ng,word,f,word,1,0.375991
25,main,LDT3X4_016,tr?,word,1,1,low,91,4.510859507,tr?,word,f,word,1,0.499849
25,main,LDT3X4_028,nhâ c?a,pseudoword,0,2,control,NA,NA,nhà c?a,nonword,j,nonword,1,0.771705
25,main,LDT3X4_030,l?c,pseudoword,0,1,control,NA,NA,l?c,nonword,j,nonword,1,0.610061
25,main,LDT3X4_105,h?c th?c,pseudoword,0,2,control,NA,NA,h?c th?c,nonword,j,nonword,1,1.104940
25,main,LDT3X4_060,quan h? v? ch?ng,pseudoword,0,4,control,NA,NA,quan h? v? ch?ng,nonword,j,nonword,1,0.914540
