participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
13,practice,PRACTICE_003,gh? dá,word,1,2,practice,NA,NA,gh? dá,word,f,word,1,0.921759
13,practice,PRACTICE_002,m?o,pseudoword,0,1,practice,NA,NA,mèo,nonword,j,nonword,1,0.667457
13,practice,PRACTICE_004,t? l?nh,pseudoword,0,2,practice,NA,NA,t? l?nh,nonword,j,nonword,1,0.880119
13,practice,PRACTICE_001,mèo,word,1,1,practice,NA,NA,mèo,word,f,word,1,0.734021
13,main,LDT3X4_051,hó,pseudoword,0,1,control,NA,NA,gió,nonword,j,nonword,1,0.655105
13,main,LDT3X4_040,mat,pseudoword,0,1,control,NA,NA,m?t,nonword,j,nonword,1,0.625236
13,main,LDT3X4_041,công ngh? thông tin,word,1,4,mid,6,1.791759469,công ngh? thông tin,word,f,word,1,0.762694
13,main,LDT3X4_065,b?a,pseudoword,0,1,control,NA,NA,c?a,nonword,f,word,0,0.622042
13,main,LDT3X4_088,máy xay,word,1,2,mid,18,2.890371758,máy xay,word,f,word,1,0.449178
13,main,LDT3X4_017,nu?c v? g?o,pseudoword,0,3,control,NA,NA,nu?c vo g?o,nonword,j,nonword,1,0.796333
13,main,LDT3X4_113,máy pha cà phé,pseudoword,0,4,control,NA,NA,máy pha cà phê,nonword,j,nonword,1,1.373666
13,main,LDT3X4_007,m?i quan h?,pseudoword,0,3,control,NA,NA,m?i quan h?,nonword,j,nonword,1,1.309899
13,main,LDT3X4_063,b?nh vi?n,word,1,2,low,13,2.564949357,b?nh vi?n,word,f,word,1,0.601718
13,main,LDT3X4_103,ti?n,word,1,1,high,317,5.758901774,ti?n,word,f,word,1,0.409517
13,main,LDT3X4_078,cá thác lác,word,1,3,mid,14,2.63905733,cá thác lác,word,f,word,1,0.733175
13,main,LDT3X4_050,ch?,word,1,1,low,108,4.682131227,ch?,word,f,word,1,0.422368
13,main,LDT3X4_074,th? tru?ng,word,1,2,high,128,4.852030264,th? tru?ng,word,f,word,1,0.45807
13,main,LDT3X4_016,tr?,word,1,1,low,91,4.510859507,tr?,word,f,word,1,0.403706
13,main,LDT3X4_028,nhâ c?a,pseudoword,0,2,control,NA,NA,nhà c?a,nonword,j,nonword,1,0.845747
13,main,LDT3X4_030,l?c,pseudoword,0,1,control,NA,NA,l?c,nonword,f,word,0,0.676481
13,main,LDT3X4_105,h?c th?c,pseudoword,0,2,control,NA,NA,h?c th?c,nonword,j,nonword,1,0.779354
13,main,LDT3X4_060,quan h? v? ch?ng,pseudoword,0,4,control,NA,NA,quan h? v? ch?ng,nonword,j,nonword,1,1.000723
13,main,LDT3X4_059,dân,word,1,1,mid,155,5.043425117,dân,word,f,word,1,0.404537
13,main,LDT3X4_046,ho?t d?ng xã h?i,word,1,4,mid,5,1.609437912,ho?t d?ng xã h?i,word,f,word,1,0.841826
13,main,LDT3X4_061,th? công m? ngh?,word,1,4,mid,4,1.386294361,th? công m? ngh?,word,f,word,1,0.677859
13,main,LDT3X4_098,s?ng,pseudoword,0,1,control,NA,NA,sông,nonword,j,nonword,1,1.345719
13,main,LDT3X4_093,máy vi tính,word,1,3,mid,13,2.564949357,máy vi tính,word,f,word,1,0.719197
