participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
4,practice,PRACTICE_003,ghế đá,word,1,2,practice,NA,NA,ghế đá,word,f,word,1,0.857856
4,practice,PRACTICE_002,mẻo,pseudoword,0,1,practice,NA,NA,mèo,nonword,j,nonword,1,0.749754
4,practice,PRACTICE_004,tủ lảnh,pseudoword,0,2,practice,NA,NA,tủ lạnh,nonword,j,nonword,1,0.839449
4,practice,PRACTICE_001,mèo,word,1,1,practice,NA,NA,mèo,word,f,word,1,0.903501
4,main,LDT3X4_051,hó,pseudoword,0,1,control,NA,NA,gió,nonword,j,nonword,1,0.785959
4,main,LDT3X4_040,măt,pseudoword,0,1,control,NA,NA,mắt,nonword,f,word,0,0.683365
4,main,LDT3X4_041,công nghệ thông tin,word,1,4,mid,6,1.791759469,công nghệ thông tin,word,f,word,1,0.80948
4,main,LDT3X4_065,bửa,pseudoword,0,1,control,NA,NA,cửa,nonword,j,nonword,1,0.693804
4,main,LDT3X4_088,máy xay,word,1,2,mid,18,2.890371758,máy xay,word,f,word,1,0.285
4,main,LDT3X4_017,nước vọ gạo,pseudoword,0,3,control,NA,NA,nước vo gạo,nonword,j,nonword,1,1.081824
4,main,LDT3X4_113,máy pha cà phé,pseudoword,0,4,control,NA,NA,máy pha cà phê,nonword,f,word,0,1.02957
4,main,LDT3X4_007,mối quan hế,pseudoword,0,3,control,NA,NA,mối quan hệ,nonword,j,nonword,1,1.115705
4,main,LDT3X4_063,bệnh viện,word,1,2,low,13,2.564949357,bệnh viện,word,f,word,1,0.515046
4,main,LDT3X4_103,tiền,word,1,1,high,317,5.758901774,tiền,word,f,word,1,0.486894
4,main,LDT3X4_078,cá thác lác,word,1,3,mid,14,2.63905733,cá thác lác,word,f,word,1,0.528604
4,main,LDT3X4_050,chợ,word,1,1,low,108,4.682131227,chợ,word,f,word,1,0.520701
4,main,LDT3X4_074,thị trường,word,1,2,high,128,4.852030264,thị trường,word,f,word,1,0.560141
4,main,LDT3X4_016,trị,word,1,1,low,91,4.510859507,trị,word,f,word,1,0.598731
4,main,LDT3X4_028,nhâ cửa,pseudoword,0,2,control,NA,NA,nhà cửa,nonword,j,nonword,1,0.826229
4,main,LDT3X4_030,lủc,pseudoword,0,1,control,NA,NA,lực,nonword,j,nonword,1,0.6636
