participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
1,practice,PRACTICE_004,tủ lảnh,pseudoword,0,2,practice,NA,NA,tủ lạnh,nonword,j,nonword,1,1.743114
1,practice,PRACTICE_002,mẻo,pseudoword,0,1,practice,NA,NA,mèo,nonword,j,nonword,1,1.145867
1,practice,PRACTICE_001,mèo,word,1,1,practice,NA,NA,mèo,word,f,word,1,0.691889
1,practice,PRACTICE_003,ghế đá,word,1,2,practice,NA,NA,ghế đá,word,f,word,1,0.723113
1,main,LDT3X4_107,kiến trúc sủ,pseudoword,0,3,control,NA,NA,kiến trúc sư,nonword,j,nonword,1,1.044481
1,main,LDT3X4_060,quan hệ vợ chọng,pseudoword,0,4,control,NA,NA,quan hệ vợ chồng,nonword,j,nonword,1,0.746256
1,main,LDT3X4_050,chợ,word,1,1,low,108,4.682131227,chợ,word,f,word,1,0.617801
1,main,LDT3X4_093,máy vi tính,word,1,3,mid,13,2.564949357,máy vi tính,word,f,word,1,0.779876
1,main,LDT3X4_063,bệnh viện,word,1,2,low,13,2.564949357,bệnh viện,word,f,word,1,0.58396
1,main,LDT3X4_033,đồng nghiệp,word,1,2,high,45,3.80666249,đồng nghiệp,word,f,word,1,0.597372
1,main,LDT3X4_009,tâm lỵ học,pseudoword,0,3,control,NA,NA,tâm lý học,nonword,f,word,0,0.833656
1,main,LDT3X4_018,giáo dục,word,1,2,mid,23,3.135494216,giáo dục,word,f,word,1,0.461582
1,main,LDT3X4_101,nhà thiết kế,word,1,3,low,9,2.197224577,nhà thiết kế,word,f,word,1,0.639934
1,main,LDT3X4_092,gió,word,1,1,mid,118,4.770684624,gió,word,f,word,1,0.555892
1,main,LDT3X4_102,chủ cửa hàng,word,1,3,low,6,1.791759469,chủ cửa hàng,word,f,word,1,0.539885
1,main,LDT3X4_079,định kiến xã hội,word,1,4,low,3,1.098612289,định kiến xã hội,word,f,word,1,0.476837
1,main,LDT3X4_022,trý,pseudoword,0,1,control,NA,NA,trị,nonword,f,word,0,0.44099
1,main,LDT3X4_047,mái nhà,word,1,2,low,14,2.63905733,mái nhà,word,f,word,1,0.426495
